id	title	creator	pubd	pages	bc
in.ernet.dli.2015.381993	ಔರ್ಧ್ವದೈಹಿಕ ಪ್ರಯೋಗವು	ಎಮ್. ಮಹಾದೇವ್	1980-01-01T00:00:00Z	133	02040100046827
in.ernet.dli.2015.381994	ಆರ್ಯಧರ್ಮ	ಸಿ. ಎಸ್. ಶಾಸ್ತ್ರಿ	1955-01-01T00:00:00Z	248	02040100046828
in.ernet.dli.2015.381995	ಸಾಹಿತ್ಯ ಸಂಜೀವಿನಿ	‍ಆದ್ಯರಾಮಾಚಾರ್ಯ	1997-01-01T00:00:00Z	230	99049990002488
in.ernet.dli.2015.381996	ಅಷ್ಟೋಪನಿಷತ್ತು	ಎಂ. ಸಿ. ರಾಮರಾವ್		171	02040100046829
in.ernet.dli.2015.381997	ಅಶ್ವಲಾಯನ ಶ್ರಾದ್ಧ ಪದ್ಧತಿ	ಬಿ. ರಾಘವೇಂದ್ರಾಚಾರ್ಯ	1932-01-01T00:00:00Z	100	02040100046830
in.ernet.dli.2015.381998	ಅಷ್ಟ ಮಹಾಮಂತ್ರಗಳು	ಪಿ. ವಿಷ್ಣುತೀರ್ಥ	1994-01-01T00:00:00Z	169	02040100046831
in.ernet.dli.2015.381999	ಅವತಾರ ತ್ರಯ ಸುವ್ವಾಲಿ	ಎಚ್. ಜಿ. ಲೋಕೂರ್		74	02040100046832
in.ernet.dli.2015.382000	ಆವೆಯ ಮಣ್ಣಿನ ಆಟದ ಬಂಡಿ	ಗೋವಿಂದಾಚಾರ್ಯ	1996-01-01T00:00:00Z	224	02040100046833
in.ernet.dli.2015.382001	ಬಡವರ ವೈದ್ಯ	ಎಂ. ಗೋಪಾಲ ಕೃಷ್ಣ ರಾವ್	1981-01-01T00:00:00Z	263	02040100046834
in.ernet.dli.2015.382002	ಆಧ್ಯಾತ್ಮ ಬಾಲಕಾಂಡ ಅಯೋಧ್ಯ ಕಾಂಡ	ಎನ್ ಕೆ ಹೆಗಡೆ	1977-01-01T00:00:00Z	220	02040100046835
in.ernet.dli.2015.382003	ಬಾಲ ರಾಮಾಯಣ ಯುದ್ಧಕಾಂಡ ಪೂರ್ವ ಭಾಗ	ಎನ್ ಕೆ ಹೆಗಡೆ	1978-01-01T00:00:00Z	198	02040100046836
in.ernet.dli.2015.382004	ಬಾಲ ರಾಮಾಯಣ ಯುದ್ಧಕಾಂಡ ಉತ್ತರ ಭಾಗ	ಎನ್ ಕೆ ಹೆಗಡೆ	1979-01-01T00:00:00Z	168	02040100046837
in.ernet.dli.2015.382005	ಭಗವದ್ಗೀತಾ	ಬಿ. ಕೇಶವ ದಾಸರ್	1965-01-01T00:00:00Z	66	02040100046838
in.ernet.dli.2015.382006	ಶಿವ ಗಮಸರೆ (?) ಮತ್ತು ಪ್ರಾಯಶ್ಚಿತ್ತವಿಧಿ	ಮಲ್ಲಣ್ಣ ಎಂ	1997-01-01T00:00:00Z	248	02040100002489
in.ernet.dli.2015.382007	ಭಗವದ್ಗೀತಾ	ಭಕ್ತ ವೇದಾಂತ ಪ್ರಭುಪಾದ	1990-01-01T00:00:00Z	812	02040100046839
in.ernet.dli.2015.382008	ಭಗವದ್ಗೀತಾ ಭಾವಪ್ರಕಾಶ	ಚಿದಂಬರ		164	02040100046840
